HSF1,0.831628559357,0.680545112668
BARHL2,0.788656235888,0.590980889396
HSF1,0.926230235079,0.863939695911
BARHL2,0.907396987061,0.816460370256
SREBF1,1.0,0.994949494949
HSF1,0.99846369312,0.9936523126
HSF1,0.99855277941,0.993737373737
BARHL2,0.968098899501,0.96187779457
NR2C2,0.97406770901,0.967652907023
ZEB1,0.955430386012,0.94585274357
ELK4,0.999467023482,0.994722118696
NFIC,0.972357471842,0.962986317797
POU2F2,0.987286305091,0.9843094863
PRDM1,0.978826178925,0.974006304662
RFX5,0.970512033299,0.961159587013
TEAD1,0.99098094726,0.988706433796
TCF3,0.988733086816,0.985340162598
PAX5,0.924364738799,0.927810592413
ESR1,0.957893332021,0.949561723101
ZNF143,0.922840541608,0.912905751699
BHLHE40,0.993818391121,0.991147731087
